x,y
Ta en drinkSportLöpningNyligen aktiv,1
,0
En glad jävel!Nyligen aktiv,1
ResaLäsaTa en drinkTränaVinResaLäsaTa en drinkTränaVinNyligen aktiv,1
Skräll med Tindra på tinderNyligen aktiv,1
Jaha gissa hur många tatueringar jag har? gissar du rätt så får du 1 puss per tatuering 😁Jaha gissa hur många tatueringar jag har? gissar du rätt så får du 1 puss per tatuering 😁Nyligen aktiv,0
71 kilometer bortom du är under 170 så kan du swipa vänsterom du är under 170 så kan du swipa vänsterom du är under 170 så kan du swipa vänsterMina vänner gästar min tinder ganska ofta,0
"19 år, snap: NatalieSoderqv",0
Studerar just nu: ,1
Några mer funderingar ? Tveka inte 😁🍍Nyligen aktiv,0
Nyligen aktiv,0
Lite som ett odiagnostiserad adhd-barn! ,0
SportaTränaResaNyligen aktiv,0
Några mer funderingar ? Tveka inte 😁🍍Älskar att resa och utforska världens alla hörn. Gillar att röra på mig och vara produktiv.,0
163cm av kärlekNyligen aktiv,0
ResaLäsaTa en drinkTränaVinNyligen aktiv,1
Värmlandstös bosatt i GöteborgNyligen aktiv,0
"Jag öppnade en dp i kyrkan när prästen gick förbi, slå detNyligen aktiv",1
Bor i Göteborg13 kilometer bortBor i Göteborg13 kilometer bort,0
72 kilometer bortNyligen aktiv,1
Älskar att resa och utforska världens alla hörn. Gillar att röra på mig och vara produktiv.,1
Långa samtal om livet vid baren?Nyligen aktiv,0
Tänk att få se queen live:'(Nyligen aktiv,1
Jag gillar ett bra äventyr!Jag gillar ett bra äventyr!Nyligen aktiv,1
Bor i Göteborg13 kilometer bortNyligen aktiv,1
Långa samtal om livet vid baren?Långa samtal om livet vid baren?Behöver någon att dricka vin medBehöver någon att dricka vin medBehöver någon att dricka vin medNyligen aktiv,1
2002,0
Är med en kompis i Göteborg över helgen så hör av dig om du har ett gäng som vill träffas eller har förfest osv!!!Är med en kompis i Göteborg över helgen så hör av dig om du har ett gäng som vill träffas eller har förfest osv!!!Nyligen aktiv,0
Vill du bli min duettpartner på karaoke?Vill du bli min duettpartner på karaoke?Nyligen aktiv,0
Instagram: celinerydenNyligen aktiv,0
Värmlandstös bosatt i GöteborgVärmlandstös bosatt i GöteborgBästa förslag på caption får en dejtBästa förslag på caption får en dejtBästa förslag på caption får en dejtNyligen aktiv,0
Vill du bli min duettpartner på karaoke?Nyligen aktiv,0
SportaTränaResaett + om du är en vampyr 🧛🏼‍♂️ett + om du är en vampyr 🧛🏼‍♂️ett + om du är en vampyr 🧛🏼‍♂️Nyligen aktiv,0
▪kramgo ▪,1
Snusar😅Nyligen aktiv,0
#knäppaenkall med mig?🍻Nyligen aktiv,1
Några spontana personer där ute? Hör av er!,1
Instagram: aliicejohanssonNyligen aktiv,0
Konståkare,1
Insta @alva.karlssoonNyligen aktiv,0
Gick också på Göteborgs universitetBor i Göteborg2 kilometer bortNyligen aktiv,1
Min mamma söker en riktig svärmorsdröm till svärsonNyligen aktiv,1
BrädspelTränaMatlagningHundälskareNyligen aktiv,1
"Jag öppnade en dp i kyrkan när prästen gick förbi, slå detJag öppnade en dp i kyrkan när prästen gick förbi, slå detNyligen aktiv",0
BrädspelTränaMatlagningHundälskareBrädspelTränaMatlagningHundälskareNyligen aktiv,1
Göteborgs universitet- international master in sports science ,1
71 kilometer bortNyligen aktiv,0
Instagram: aliicejohanssonMina vänner gästar min tinder ganska ofta,0
Nej jag kommer inte att vara din nurse 🙄Nej jag kommer inte att vara din nurse 🙄Nyligen aktiv,0
"Snusar😅19 år, snap: NatalieSoderqv",0
Nej jag kommer inte att vara din nurse 🙄Nyligen aktiv,0
InstagramResaFilmerModeNyligen aktiv,1
